Artist,Song,Album,Release Date
The 1975,Oh Caroline,Being Funny In A Foreign Language,2022-10-14
Cass McCombs,Absentee,Tip of the Sphere,2019-02-08
Pity Party (Girls Club),I hope that you think of me,Hard Times / Bad Trips,2022-01-02
Vansire,From the Subway Train,Angel Youth,2018-04-26
The Neighbourhood,Fallen Star,Fallen Star,2021-10-01
The Reytons,Retro Emporium,Retro Emporium,2019-12-20
The 1975,I'm In Love With You,Being Funny In A Foreign Language,2022-10-14
Hozier,Eat Your Young,Eat Your Young,2023-03-17
All Time Low,"Oh, Calamity!",Don't Panic: It's Longer Now!,2013-09-30
Foo Fighters,The Pretender,"Echoes, Silence, Patience & Grace",2007-09-25
Mayday Parade,Somebody That I Used To Know,"Punk Goes Pop, Vol. 5",2012-11-06
Paramore,Ignorance,Brand New Eyes,2009-09-28
Green Day,21 Guns,21st Century Breakdown,2009-05-15
The Snuts,Hallelujah Moment,Burn The Empire,2022-09-30
Arctic Monkeys,Mardy Bum,"Whatever People Say I Am, That's What I'm Not",2006-02-21
The All-American Rejects,"Swing, Swing",The All-American Rejects,2002-10-15
The All-American Rejects,It Ends Tonight,Move Along,2005-01-01
My Chemical Romance,Cancer,The Black Parade,2006-10-23
Nickelback,If Today Was Your Last Day,Dark Horse,2008-10-28
3 Doors Down,Kryptonite,The Better Life,2000
Nickelback,How You Remind Me,Silver Side Up,2001-09-11
Chad Kroeger,Hero (feat. Josey Scott),Hero (feat. Josey Scott),2003
Dance Gavin Dance,Son of Robot,Artificial Selection,2018-06-08
Young the Giant,Something to Believe In,Home of the Strange,2016-08-12
Dance Gavin Dance,Die Another Day,Jackpot Juicer,2022-07-29
BØRNS,Dopamine,Dopamine,2015-10-16
Neon Trees,1983,Habits,2010-01-01
Cage The Elephant,Cigarette Daydreams,Melophobia,2013-10-08
Two Door Cinema Club,What You Know,Tourist History,2010-02-17
Phoenix,1901,Wolfgang Amadeus Phoenix,2009-05-25
Young the Giant,Silvertongue,Home of the Strange,2016-08-12
Nickelback,Savin' Me,All the Right Reasons,2005-09-26
My Chemical Romance,Famous Last Words,The Black Parade,2006-10-23
Neon Trees,Everybody Talks,Picture Show,2012-01-01
Matchbox Twenty,Unwell,More Than You Think You Are,2002-11-01
All Time Low,"Dear Maria, Count Me In","So Wrong, It's Right",2007-09-25
Matchbox Twenty,She's so Mean,North (Deluxe Edition),2012-08-31
Sleeping With Sirens,Do It Now Remember It Later,Let's Cheers To This,2011-05-10
Tonight Alive,Wasting Away,Consider This,2011-11-15
All Time Low,The Irony of Choking on a Lifesaver,Don't Panic,2012-10-09
Justin Timberlake,Mirrors,The 20/20 Experience (Deluxe Version),2013-03-15
5 Seconds of Summer,Caramel,5SOS5,2022-09-23
5 Seconds of Summer,CAROUSEL,5SOS5,2022-09-23
5 Seconds of Summer,COMPLETE MESS,5SOS5,2022-09-23
Lil Durk,All My Life (feat. J. Cole),Almost Healed,2023-05-26
21 Savage,a lot,i am > i was,2018-12-21
5 Seconds of Summer,You Don't Go To Parties,5SOS5,2022-09-23
My Chemical Romance,Disenchanted,The Black Parade,2006-10-23
The Killers,Smile Like You Mean It,Hot Fuss,2004
My Chemical Romance,Surrender the Night,Number Five,2013-02-05
Billy Joel,Vienna,The Stranger (Legacy Edition),1977
Corinne Bailey Rae,Put Your Records On,Corinne Bailey Rae,2006-01-01
Justin Timberlake,That Girl,The 20/20 Experience (Deluxe Version),2013-03-15
Twenty One Pilots,Holding on to You,Vessel,2013-01-08
The Red Jumpsuit Apparatus,Your Guardian Angel,Don't You Fake It,2006-01-01
My Chemical Romance,Bulletproof Heart,Danger Days: The True Lives of the Fabulous Killjoys,2010-11-05
My Chemical Romance,The End.,The Black Parade,2006-10-23
Linkin Park,In the End,Hybrid Theory (Bonus Edition),2000
Thirty Seconds To Mars,The Kill,A Beautiful Lie,2005-01-01
The Killers,Jenny Was A Friend Of Mine,Hot Fuss,2004
Foo Fighters,My Hero,The Colour And The Shape,1997-05-20
Twenty One Pilots,Tear in My Heart,Blurryface,2015-05-15
My Chemical Romance,The Ghost of You,Three Cheers for Sweet Revenge,2004-06-08
Every Avenue,Tell Me I'm A Wreck,Picture Perfect,2009-11-03
My Chemical Romance,"Save Yourself, I'll Hold Them Back",Danger Days: The True Lives of the Fabulous Killjoys,2010-11-05
The Killers,All These Things That I've Done,Hot Fuss,2004
My Chemical Romance,Dead!,The Black Parade,2006-10-23
My Chemical Romance,The Only Hope for Me Is You,Danger Days: The True Lives of the Fabulous Killjoys,2010-11-05
My Chemical Romance,Thank You for the Venom,Three Cheers for Sweet Revenge,2004-06-08
Sum 41,In Too Deep,"All Killer, No Filler",2001-01-01
Rise Against,Savior,Appeal To Reason,2008-01-01
My Chemical Romance,S/C/A/R/E/C/R/O/W,Danger Days: The True Lives of the Fabulous Killjoys,2010-11-05
The All-American Rejects,Move Along,Move Along,2005-01-01
Pierce The Veil,Props & Mayhem,Collide With The Sky,2012-07-17
The All-American Rejects,Dirty Little Secret,Move Along,2005-01-01
Dance Gavin Dance,We Own The Night,Instant Gratification,2015-04-10
All Time Low,Weightless,Nothing Personal (Deluxe Version),2009-07-07
My Chemical Romance,Vampire Money,Danger Days: The True Lives of the Fabulous Killjoys,2010-11-05
Arctic Monkeys,Fluorescent Adolescent,Favourite Worst Nightmare (Standard Version),2007-04-24
Arctic Monkeys,Crying Lightning,Humbug,2009-08-25
Arctic Monkeys,I Ain’t Quite Where I Think I Am,I Ain't Quite Where I Think I Am,2022-10-18
Arctic Monkeys,Teddy Picker,Favourite Worst Nightmare (Standard Version),2007-04-24
Arctic Monkeys,Body Paint,Body Paint,2022-09-29
Arctic Monkeys,Why'd You Only Call Me When You're High?,AM,2013-09-09
Arctic Monkeys,Do I Wanna Know?,AM,2013-09-09
Arctic Monkeys,There’d Better Be A Mirrorball,There’d Better Be A Mirrorball,2022-08-30
Arctic Monkeys,R U Mine?,AM,2013-09-09
Bob Marley & The Wailers,Pimper's Paradise,Uprising,1980
The Killers,Run For Cover,Wonderful Wonderful,2017-09-22
Cold War Kids,First,Hold My Home,2014-10-31
COIN,Run,COIN,2015-06-05
BØRNS,Seeing Stars,Seeing Stars,2015-08-21
Fall Out Boy,The Kids Aren't Alright,American Beauty/American Psycho,2015-01-20
Neon Trees,Songs I Can't Listen To,Songs I Can't Listen To,2015-05-05
BØRNS,American Money,Dopamine,2015-10-16
Young the Giant,Simplify,Mirror Master,2018-10-12
Bastille,Pompeii,Bad Blood,2013-01-01
The 1975,The Sound,"I like it when you sleep, for you are so beautiful yet so unaware of it",2016-02-26
Bob Marley & The Wailers,Is This Love,Kaya,1978
Bob Marley & The Wailers,Could You Be Loved,Uprising,1980
Olivia Rodrigo,vampire,vampire,2023-06-30
My Chemical Romance,I'm Not Okay (I Promise),Three Cheers for Sweet Revenge,2004-06-08
Lustra,Scotty Doesn't Know,Left for Dead,2006
My Chemical Romance,Summertime,Danger Days: The True Lives of the Fabulous Killjoys,2010-11-05
My Chemical Romance,SING,Danger Days: The True Lives of the Fabulous Killjoys,2010-11-05
My Chemical Romance,Kill All Your Friends,Famous Last Words,2007-01-22
My Chemical Romance,I Don't Love You,The Black Parade,2006-10-23
My Chemical Romance,The Light Behind Your Eyes,Number Three,2012-12-18
My Chemical Romance,The Foundations of Decay,The Foundations of Decay,2022-05-12
My Chemical Romance,The World Is Ugly,Number Three,2012-12-18
My Chemical Romance,Na Na Na (Na Na Na Na Na Na Na Na Na),Danger Days: The True Lives of the Fabulous Killjoys,2010-11-05
My Chemical Romance,Helena,Three Cheers for Sweet Revenge,2004-06-08
Red Hot Chili Peppers,The Adventures of Rain Dance Maggie,I'm with You,2011-08-29
Red Hot Chili Peppers,Tell Me Baby,Stadium Arcadium,2006-05-09
Red Hot Chili Peppers,Around the World,Californication (Deluxe Edition),1999-06-08
Red Hot Chili Peppers,Soul to Squeeze,Greatest Hits,2003-11-18
Red Hot Chili Peppers,Dark Necessities,The Getaway,2016-06-17
Red Hot Chili Peppers,The Zephyr Song,By the Way (Deluxe Edition),2002-07-09
Red Hot Chili Peppers,Give It Away,Blood Sugar Sex Magik (Deluxe Edition),1991-09-24
Red Hot Chili Peppers,By the Way,By the Way (Deluxe Edition),2002-07-09
Red Hot Chili Peppers,Under the Bridge,Blood Sugar Sex Magik (Deluxe Edition),1991-09-24
Nirvana,Come As You Are,Nevermind (Remastered),1991-09-26
Nirvana,Something In The Way,Nevermind (Remastered),1991-09-26
The Smiths,Heaven Knows I'm Miserable Now - 2011 Remaster,Louder Than Bombs,1987
Anna Kendrick,Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version,Ultimate Pitch Perfect (Original Motion Picture Soundtrack),2015-02-10
Passenger,Let Her Go,All The Little Lights,2012-08-28
The Script,Breakeven,The Script,2008-07-14
Eminem,Love The Way You Lie,Recovery,2010-06-18
Uncle Kracker,Smile,Happy Hour,2009-09-11
Fergie,Big Girls Don't Cry (Personal),The Dutchess,2006-09-13
Edwin McCain,I'll Be,Misguided Roses,1997
Rihanna,Take A Bow,Good Girl Gone Bad: Reloaded,2008-06-02
fun.,Some Nights,Some Nights,2012-02-21
The Script,The Man Who Can't Be Moved,The Script,2008-07-14
Miley Cyrus,Butterfly Fly Away,Hannah Montana The Movie,2009-01-01
B.o.B,Airplanes (feat. Hayley Williams of Paramore),B.o.B Presents: The Adventures of Bobby Ray,2010-04-27
Miley Cyrus,I Hope You Find It,The Last Song,2010-01-01
Kacey Musgraves,Merry Go 'Round,Same Trailer Different Park,2013-01-01
Snow Patrol,Chasing Cars,Eyes Open,2006-01-01
Jake Owen,Barefoot Blue Jean Night,Barefoot Blue Jean Night,2011-08-26
The Script,For the First Time,Science & Faith,2011-01-18
Owl City,Fireflies,Ocean Eyes,2009-01-01
P!nk,Who Knew - Edit,I'm Not Dead,2006-04-04
Matt Nathanson,Come On Get Higher,Some Mad Hope,2007-01-01
Carrie Underwood,Before He Cheats,Some Hearts,2005-11-14
The Band Perry,If I Die Young,The Band Perry,2010-01-01
5 Seconds of Summer,Ghost Of You,Youngblood (Deluxe),2018-06-15
5 Seconds of Summer,She Looks So Perfect,5 Seconds Of Summer,2014-06-27
Cage The Elephant,Ain't No Rest For The Wicked - Original Version,Cage The Elephant,2008-01-01
Nirvana,Smells Like Teen Spirit,Nevermind (Remastered),1991-09-26
The Script,The Man Who Can't Be Moved,The Script,2008-09-08
The Goo Goo Dolls,Iris,Dizzy up the Girl,1998-09-11
Hoobastank,The Reason,The Reason (15th Anniversary Deluxe),2003-12-09
Nickelback,Photograph,All the Right Reasons,2005-09-26
Nickelback,Far Away,Far Away,2005
Jet,Are You Gonna Be My Girl,Get Born,2003-09-15
Weezer,Beverly Hills,Make Believe,2005-05-10
Rise Against,Savior,Appeal To Reason,2008-01-01
Coldplay,Yellow,Parachutes,2000-07-10
Staind,It's Been Awhile,Break the Cycle,2001-05-22
Red Hot Chili Peppers,Dani California,Stadium Arcadium,2006-05-09
Daughtry,Home,Daughtry (Deluxe Edition),2006
Red Hot Chili Peppers,Otherside,Californication (Deluxe Edition),1999-06-08
Linkin Park,What I've Done,Minutes to Midnight,2007-05-14
Linkin Park,Numb,Meteora,2003-09-16
Evanescence,Bring Me To Life,Fallen,2003-03-04
blink-182,First Date,Take Off Your Pants And Jacket,2001
Kelly Clarkson,Since U Been Gone,Breakaway,2004-01-17
A Day To Remember,All Signs Point To Lauderdale,What Separates Me From You,2010-11-16
Plain White T's,Hey There Delilah,All That We Needed,2005-01-01
Bowling For Soup,Almost,A Hangover You Don't Deserve,2004
BOYS LIKE GIRLS,Love Drunk,Love Drunk,2009-09-07
Switchfoot,Meant to Live,The Beautiful Letdown (Deluxe Version),2003
Avril Lavigne,Girlfriend,The Best Damn Thing (Expanded Edition),2007-04-17
Daughtry,It's Not Over,Daughtry (Deluxe Edition),2006
Daughtry,Over You,Daughtry (Deluxe Edition),2006
Bowling For Soup,High School Never Ends - Main Version - Explicit,The Great Burrito Extortion Case,2006
Finger Eleven,Paralyzer,Them Vs. You Vs. Me (Deluxe Edition),2007-01-01
Papa Roach,Scars,Getting Away With Murder,2004-01-01
Plain White T's,Rhythm Of Love,Wonders Of The Younger,2010-01-01
My Chemical Romance,Welcome to the Black Parade,The Black Parade,2006-10-23
BOYS LIKE GIRLS,The Great Escape,Boys Like Girls,2006
A Day To Remember,Over My Head (Cable Car),Attack Of The Killer B-Sides,2010-05-25
My Chemical Romance,Teenagers,The Black Parade,2006-10-23
blink-182,What's My Age Again?,Enema Of The State,1999-06-01
Every Avenue,Where Were You,"Shh, Just Go With It",2008-01-01
Alec Benjamin,Let Me Down Slowly,Narrated For You,2018-11-16
Lil Nas X,SUN GOES DOWN,MONTERO,2021-09-17
