Artist,Song,Album,Release Date
The 1975,Oh Caroline,Being Funny In A Foreign Language,2022-10-14
Cass McCombs,Absentee,Tip of the Sphere,2019-02-08
Pity Party (Girls Club),I hope that you think of me,Hard Times / Bad Trips,2022-01-02
Vansire,From the Subway Train,Angel Youth,2018-04-26
The Neighbourhood,Fallen Star,Fallen Star,2021-10-01
The Reytons,Retro Emporium,Retro Emporium,2019-12-20
The 1975,I'm In Love With You,Being Funny In A Foreign Language,2022-10-14
Hozier,Eat Your Young,Eat Your Young,2023-03-17
All Time Low,"Oh, Calamity!",Don't Panic: It's Longer Now!,2013-09-30
Foo Fighters,The Pretender,"Echoes, Silence, Patience & Grace",2007-09-25
Mayday Parade,Somebody That I Used To Know,"Punk Goes Pop, Vol. 5",2012-11-06
Paramore,Ignorance,Brand New Eyes,2009-09-28
